GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quarkus-dashboard-generator,io.hoggmania.dashboard.model,ComponentItem.Status,0,54,0,0,0,10,0,2,0,2
quarkus-dashboard-generator,io.hoggmania.dashboard.model,ComponentItem.Maturity,0,62,0,0,0,11,0,2,0,2
quarkus-dashboard-generator,io.hoggmania.dashboard.model,ComponentItem,0,28,0,0,0,2,0,2,0,2
quarkus-dashboard-generator,io.hoggmania.dashboard.model,Governance,0,10,0,0,0,2,0,2,0,2
quarkus-dashboard-generator,io.hoggmania.dashboard.model,InitiativeRow,45,0,0,0,16,0,1,0,1,0
quarkus-dashboard-generator,io.hoggmania.dashboard.model,ESA,0,165,5,27,0,32,5,15,0,4
quarkus-dashboard-generator,io.hoggmania.dashboard.model,ComponentInitiative,0,3,0,0,0,1,0,1,0,1
quarkus-dashboard-generator,io.hoggmania.dashboard.model,RenderItem,12,84,4,2,2,25,5,2,2,2
quarkus-dashboard-generator,io.hoggmania.dashboard.model,DashboardModel,10,0,0,0,2,0,2,0,2,0
quarkus-dashboard-generator,io.hoggmania.dashboard.model,DomainGroup,19,15,0,0,2,6,2,1,2,1
quarkus-dashboard-generator,io.hoggmania.dashboard.model,Capabilities,0,12,0,0,0,2,0,2,0,2
quarkus-dashboard-generator,io.hoggmania.dashboard.model,Domain,0,12,0,0,0,2,0,2,0,2
quarkus-dashboard-generator,io.hoggmania.dashboard.resource,DashboardResource,95,51,12,4,23,10,10,3,2,3
quarkus-dashboard-generator,io.hoggmania.dashboard.resource,RootResource,13,0,0,0,3,0,3,0,3,0
quarkus-dashboard-generator,io.hoggmania.dashboard.resource,UIResource,307,25,10,0,72,5,11,3,6,3
quarkus-dashboard-generator,io.hoggmania.dashboard.service,SvgService,317,1570,98,118,58,323,89,35,2,14
quarkus-dashboard-generator,io.hoggmania.dashboard.service,SvgService.DomainColumnLayout,0,50,2,4,0,10,2,5,0,4
quarkus-dashboard-generator,io.hoggmania.dashboard.service,SvgService.InitiativeGradient,0,11,0,0,0,4,0,1,0,1
quarkus-dashboard-generator,io.hoggmania.dashboard.service,JiraClient,186,0,12,0,47,0,9,0,3,0
quarkus-dashboard-generator,io.hoggmania.dashboard.service,SvgService.GradientStop,0,9,0,0,0,4,0,1,0,1
quarkus-dashboard-generator,io.hoggmania.dashboard.service,SvgService.DomainSectionChunk,1,20,1,1,0,6,1,2,0,2
quarkus-dashboard-generator,io.hoggmania.dashboard.service,JiraPayloadService,802,34,72,0,145,8,57,2,21,2
quarkus-dashboard-generator,io.hoggmania.dashboard.service,InitiativesPageService,369,35,56,0,71,9,41,2,13,2
quarkus-dashboard-generator,io.hoggmania.dashboard.service,SvgService.LinkText,0,9,0,0,0,4,0,1,0,1
quarkus-dashboard-generator,io.hoggmania.dashboard,MainApplication,6,0,0,0,3,0,2,0,2,0
quarkus-dashboard-generator,io.hoggmania.dashboard.config,DashboardLayoutConfig,0,26,0,0,0,4,0,2,0,2
quarkus-dashboard-generator,io.hoggmania.dashboard.exception,ValidationException,5,4,0,0,2,2,1,1,1,1
quarkus-dashboard-generator,io.hoggmania.dashboard.exception,GlobalExceptionMapper,212,0,34,0,41,0,21,0,4,0
quarkus-dashboard-generator,io.hoggmania.dashboard.exception,GlobalExceptionMapper.ErrorResponse,9,0,0,0,4,0,1,0,1,0
quarkus-dashboard-generator,io.hoggmania.dashboard.util,RateLimiter.RequestWindow,90,0,8,0,18,0,9,0,5,0
quarkus-dashboard-generator,io.hoggmania.dashboard.util,ColorPalette,26,8,8,3,9,4,7,3,1,1
quarkus-dashboard-generator,io.hoggmania.dashboard.util,RateLimiter,61,0,4,0,17,0,8,0,6,0
quarkus-dashboard-generator,io.hoggmania.dashboard.util,UrlUtils,136,0,20,0,36,0,15,0,5,0
quarkus-dashboard-generator,io.hoggmania.dashboard.util,StringUtils,81,32,23,5,18,7,19,2,4,1
